trainingId,power
1,975
2,336
3,1200
5,3000
6,240
7,240
8,240
9,1440
4,3600
10,1440
11,1800
12,1050
14,1584
15,540
16,1200
17,1200
18,900
19,1800
20,960
21,675
22,420
23,540
24,1050
25,240
26,240
27,240
28,240
29,540
30,1200
31,1200
32,540
33,360
34,510
35,300
36,360
37,1440
13,1830
40,1440
41,1170
42,360
43,1080
44,1050
45,336
46,450
47,360
48,240
49,300
50,240
51,240
52,216
53,1200
54,1200
55,1530
56,1050
57,960
58,1080
59,336
60,540
61,1050
62,240
63,240
64,240
65,240
66,540
67,1200
68,1200
69,540
70,360
71,300
72,300
73,360
74,408
75,3600
76,1440
77,1170
78,1050
79,1080
80,1050
81,336
82,360
83,390
84,240
85,300
86,240
87,240
88,540
89,1200
90,1200
91,900
92,1050
93,960
94,675
95,336
96,540
97,1050
98,240
99,240
100,240
101,240
102,540
103,480
104,1200
105,540
106,360
107,300
108,300
109,360
110,1440
111,1830
112,1440
113,1170
114,1050
115,1080
116,1050
117,336
118,450
119,360
120,240
121,300
122,240
123,240
124,540
125,1200
126,1200
127,900
128,1050
129,960
130,675
131,336
132,540
133,1050
134,240
135,150
136,240
137,240
138,540
139,480
140,630
141,540
142,480
143,300
144,330
145,360
146,1440
147,3600
148,1440
149,1170
150,1050
151,864
152,984
153,336
154,450
155,360
156,240
157,300
158,240
159,162
160,540
161,1200
162,1200
163,900
164,1050
165,960
166,675
167,336
168,540
169,1050
170,240
171,240
172,240
173,240
174,540
175,1200
176,1200
177,540
178,360
179,300
180,300
181,270
182,1440
183,3600
184,1440
185,1170
186,1050
187,1080
188,1050
189,336
190,450
191,360
192,240
193,300
194,240
195,360
196,540
197,1200
198,1200
199,900
200,1050
201,960
202,675
203,336
204,540
205,1050
206,240
207,240
208,240
209,240
210,540
211,1200
212,1200
213,360
214,360
215,300
216,300
217,330
218,216
219,408
220,1440
221,1050
222,1080
223,1050
224,336
225,450
226,360
227,240
228,312
229,240
230,240
231,360
232,1200
233,1200
234,900
235,1050
236,960
237,675
238,336
239,540
240,1050
241,240
242,240
243,240
244,240
245,540
246,480
247,504
248,648
